GVKEY,datadate,fyear,indfmt,consol,popsrc,datafmt,curcd,costat,sic
001004,1988-05-31,1987,INDL,C,D,STD,USD,A,5080
001004,1989-05-31,1988,INDL,C,D,STD,USD,A,5080
001004,1990-05-31,1989,INDL,C,D,STD,USD,A,5080
001004,1991-05-31,1990,INDL,C,D,STD,USD,A,5080
001004,1992-05-31,1991,INDL,C,D,STD,USD,A,5080
001004,1993-05-31,1992,INDL,C,D,STD,USD,A,5080
001004,1994-05-31,1993,INDL,C,D,STD,USD,A,5080
001004,1995-05-31,1994,INDL,C,D,STD,USD,A,5080
001004,1996-05-31,1995,INDL,C,D,STD,USD,A,5080
001004,1997-05-31,1996,INDL,C,D,STD,USD,A,5080
001004,1998-05-31,1997,INDL,C,D,STD,USD,A,5080
001004,1999-05-31,1998,INDL,C,D,STD,USD,A,5080
001004,2000-05-31,1999,INDL,C,D,STD,USD,A,5080
001004,2001-05-31,2000,INDL,C,D,STD,USD,A,5080
001004,2002-05-31,2001,INDL,C,D,STD,USD,A,5080
001004,2003-05-31,2002,INDL,C,D,STD,USD,A,5080
001004,2004-05-31,2003,INDL,C,D,STD,USD,A,5080
001004,2005-05-31,2004,INDL,C,D,STD,USD,A,5080
001004,2006-05-31,2005,INDL,C,D,STD,USD,A,5080
001004,2007-05-31,2006,INDL,C,D,STD,USD,A,5080
001004,2008-05-31,2007,INDL,C,D,STD,USD,A,5080
001004,2009-05-31,2008,INDL,C,D,STD,USD,A,5080
001004,2010-05-31,2009,INDL,C,D,STD,USD,A,5080
001004,2011-05-31,2010,INDL,C,D,STD,USD,A,5080
001045,1987-12-31,1987,INDL,C,D,STD,USD,A,4512
001045,1988-12-31,1988,INDL,C,D,STD,USD,A,4512
001045,1989-12-31,1989,INDL,C,D,STD,USD,A,4512
001045,1990-12-31,1990,INDL,C,D,STD,USD,A,4512
001045,1991-12-31,1991,INDL,C,D,STD,USD,A,4512
001045,1992-12-31,1992,INDL,C,D,STD,USD,A,4512
001045,1993-12-31,1993,INDL,C,D,STD,USD,A,4512
001045,1994-12-31,1994,INDL,C,D,STD,USD,A,4512
001045,1995-12-31,1995,INDL,C,D,STD,USD,A,4512
001045,1996-12-31,1996,INDL,C,D,STD,USD,A,4512
001045,1997-12-31,1997,INDL,C,D,STD,USD,A,4512
001045,1998-12-31,1998,INDL,C,D,STD,USD,A,4512
001045,1999-12-31,1999,INDL,C,D,STD,USD,A,4512
001045,2000-12-31,2000,INDL,C,D,STD,USD,A,4512
001045,2001-12-31,2001,INDL,C,D,STD,USD,A,4512
001045,2002-12-31,2002,INDL,C,D,STD,USD,A,4512
001045,2003-12-31,2003,INDL,C,D,STD,USD,A,4512
001045,2004-12-31,2004,INDL,C,D,STD,USD,A,4512
001045,2005-12-31,2005,INDL,C,D,STD,USD,A,4512
001045,2006-12-31,2006,INDL,C,D,STD,USD,A,4512
001045,2007-12-31,2007,INDL,C,D,STD,USD,A,4512
001045,2008-12-31,2008,INDL,C,D,STD,USD,A,4512
001045,2009-12-31,2009,INDL,C,D,STD,USD,A,4512
001045,2010-12-31,2010,INDL,C,D,STD,USD,A,4512
001050,1988-05-31,1987,INDL,C,D,STD,USD,A,3564
001050,1989-05-31,1988,INDL,C,D,STD,USD,A,3564
001050,1990-05-31,1989,INDL,C,D,STD,USD,A,3564
001050,1991-05-31,1990,INDL,C,D,STD,USD,A,3564
001050,1992-05-31,1991,INDL,C,D,STD,USD,A,3564
001050,1992-12-31,1992,INDL,C,D,STD,USD,A,3564
001050,1993-12-31,1993,INDL,C,D,STD,USD,A,3564
001050,1994-12-31,1994,INDL,C,D,STD,USD,A,3564
001050,1995-12-31,1995,INDL,C,D,STD,USD,A,3564
001050,1996-12-31,1996,INDL,C,D,STD,USD,A,3564
001050,1997-12-31,1997,INDL,C,D,STD,USD,A,3564
001050,1998-12-31,1998,INDL,C,D,STD,USD,A,3564
001050,1999-12-31,1999,INDL,C,D,STD,USD,A,3564
001050,2000-12-31,2000,INDL,C,D,STD,USD,A,3564
001050,2001-12-31,2001,INDL,C,D,STD,USD,A,3564
001050,2002-12-31,2002,INDL,C,D,STD,USD,A,3564
001050,2003-12-31,2003,INDL,C,D,STD,USD,A,3564
001050,2004-12-31,2004,INDL,C,D,STD,USD,A,3564
001050,2005-12-31,2005,INDL,C,D,STD,USD,A,3564
001050,2006-12-31,2006,INDL,C,D,STD,USD,A,3564
001050,2007-12-31,2007,INDL,C,D,STD,USD,A,3564
001050,2008-12-31,2008,INDL,C,D,STD,USD,A,3564
001050,2009-12-31,2009,INDL,C,D,STD,USD,A,3564
001050,2010-12-31,2010,INDL,C,D,STD,USD,A,3564
001062,1987-11-30,1987,INDL,C,D,STD,USD,A,6799
001062,1988-11-30,1988,INDL,C,D,STD,USD,A,6799
001062,1989-11-30,1989,INDL,C,D,STD,USD,A,6799
001062,1990-11-30,1990,INDL,C,D,STD,USD,A,6799
001062,1991-11-30,1991,INDL,C,D,STD,USD,A,6799
001062,1992-11-30,1992,INDL,C,D,STD,USD,A,6799
001062,1993-11-30,1993,INDL,C,D,STD,USD,A,6799
001062,1994-11-30,1994,INDL,C,D,STD,USD,A,6799
001062,1995-11-30,1995,INDL,C,D,STD,USD,A,6799
001062,1996-11-30,1996,INDL,C,D,STD,USD,A,6799
001062,1997-11-30,1997,INDL,C,D,STD,USD,A,6799
001062,1998-11-30,1998,INDL,C,D,STD,USD,A,6799
001062,1999-11-30,1999,INDL,C,D,STD,USD,A,6799
001062,2000-11-30,2000,INDL,C,D,STD,USD,A,6799
001062,2001-11-30,2001,INDL,C,D,STD,USD,A,6799
001062,2002-11-30,2002,INDL,C,D,STD,USD,A,6799
001062,2003-11-30,2003,INDL,C,D,STD,USD,A,6799
001062,2004-11-30,2004,INDL,C,D,STD,USD,A,6799
001062,2005-11-30,2005,INDL,C,D,STD,USD,A,6799
001062,2006-11-30,2006,INDL,C,D,STD,USD,A,6799
001062,2007-11-30,2007,INDL,C,D,STD,USD,A,6799
001062,2008-11-30,2008,INDL,C,D,STD,USD,A,6799
001062,2009-11-30,2009,INDL,C,D,STD,USD,A,6799
001062,2010-11-30,2010,INDL,C,D,STD,USD,A,6799
001075,1987-12-31,1987,INDL,C,D,STD,USD,A,4911
001075,1988-12-31,1988,INDL,C,D,STD,USD,A,4911
001075,1989-12-31,1989,INDL,C,D,STD,USD,A,4911
001075,1990-12-31,1990,INDL,C,D,STD,USD,A,4911
001075,1991-12-31,1991,INDL,C,D,STD,USD,A,4911
001075,1992-12-31,1992,INDL,C,D,STD,USD,A,4911
001075,1993-12-31,1993,INDL,C,D,STD,USD,A,4911
001075,1994-12-31,1994,INDL,C,D,STD,USD,A,4911
001075,1995-12-31,1995,INDL,C,D,STD,USD,A,4911
001075,1996-12-31,1996,INDL,C,D,STD,USD,A,4911
001075,1997-12-31,1997,INDL,C,D,STD,USD,A,4911
001075,1998-12-31,1998,INDL,C,D,STD,USD,A,4911
